Origem,Origem (IATA),Origem (ICAO),Saida,Chegada,Destino,Destino (IATA),Destino (ICAO),Periodo,Frequencia
Brasília,BSB,SBBR,08:25,10:10,Galeão,GIG,SBGL,01/maio - 31/maio,Sexta Sábado Domingo
Brasília,BSB,SBBR,10:15,12:00,Galeão,GIG,SBGL,01/maio - 31/maio,Terça Sexta Sábado Domingo
Brasília,BSB,SBBR,15:50,17:35,Galeão,GIG,SBGL,01/maio - 31/maio,Sexta Sábado Domingo Terça Quarta Sexta Sábado
Brasília,BSB,SBBR,18:15,20:05,Galeão,GIG,SBGL,01/maio - 31/maio,Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,20:45,22:35,Galeão,GIG,SBGL,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,06:00,08:00,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,11:25,13:10,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta Sábado Domingo
Brasília,BSB,SBBR,13:50,15:35,Guarulhos,GRU,SBGR,01/maio - 31/maio,Domingo
Brasília,BSB,SBBR,14:20,16:05,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta
Brasília,BSB,SBBR,16:55,18:40,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sábado
Brasília,BSB,SBBR,19:25,21:15,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,20:45,22:35,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,09:35,10:25,Goiânia,GYN,SBGO,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,08:45,11:25,João Pessoa,JPA,SBJP,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,23:10,01:20,Marabá,MAB,SBMA,01/maio - 31/maio,Sexta Domingo
Brasília,BSB,SBBR,08:40,10:55,Manaus,MAO,SBEG,01/maio - 31/maio,Sábado
Brasília,BSB,SBBR,08:55,10:55,Manaus,MAO,SBEG,01/maio - 31/maio,Sexta Domingo
Brasília,BSB,SBBR,20:35,22:30,Manaus,MAO,SBEG,01/maio - 31/maio,Segunda Quarta Sexta Domingo
Brasília,BSB,SBBR,21:05,23:00,Manaus,MAO,SBEG,01/maio - 31/maio,Terça Quinta
Brasília,BSB,SBBR,09:40,17:05,Orlando,MCO,KMCO,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,09:00,11:25,Maceió,MCZ,SBMO,01/maio - 31/maio,Sexta Sábado Domingo
Brasília,BSB,SBBR,10:20,12:45,Maceió,MCZ,SBMO,01/maio - 31/maio,Sábado
Brasília,BSB,SBBR,21:55,00:20,Maceió,MCZ,SBMO,01/maio - 31/maio,Quinta
Brasília,BSB,SBBR,23:00,01:25,Maceió,MCZ,SBMO,01/maio - 31/maio,Terça Sexta Sábado Domingo
Brasília,BSB,SBBR,10:10,17:20,Miami,MIA,KMIA,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,08:45,11:30,Natal,NAT,SBSG,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,20:50,22:15,Palmas,PMW,SBPJ,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,08:50,11:30,Porto Alegre,POA,SBPA,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,21:00,23:40,Porto Alegre,POA,SBPA,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,20:55,22:50,Porto Velho,PVH,SBPV,01/maio - 31/maio,Sexta Domingo
Brasília,BSB,SBBR,08:40,10:00,Rio Branco,RBR,SBRB,01/maio - 31/maio,Segunda Quarta Sexta Domingo
Brasília,BSB,SBBR,21:30,22:50,Rio Branco,RBR,SBRB,01/maio - 31/maio,Terça Quinta Sábado
