Origem,Saida,Chegada,Destino,Periodo,Frequencia
Brasília,09:00,11:25,Maceió,01/maio - 31/maio,Sexta Sábado Domingo
Brasília,10:20,12:45,Maceió,01/maio - 31/maio,Sábado
Brasília,21:55,00:20,Maceió,01/maio - 31/maio,Quinta
Brasília,23:00,01:25,Maceió,01/maio - 31/maio,Terça Sexta Sábado Domingo
Brasília,10:10,17:20,Miami,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,08:45,11:30,Natal,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,20:50,22:15,Palmas,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,08:50,11:30,Porto Alegre,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,21:00,23:40,Porto Alegre,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,20:55,22:50,Porto Velho,01/maio - 31/maio,Sexta Domingo
Brasília,08:40,10:00,Rio Branco,01/maio - 31/maio,Segunda Quarta Sexta Domingo
Brasília,21:30,22:50,Rio Branco,01/maio - 31/maio,Terça Quinta Sábado
Brasília,09:05,11:50,Recife,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,21:00,23:45,Recife,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,07:05,08:50,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,08:55,10:40,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo
Brasília,10:45,12:25,Santos Dumont,01/maio - 31/maio,Quinta
Brasília,12:25,14:05,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo
Brasília,15:10,16:50,Santos Dumont,01/maio - 31/maio,Sábado
Brasília,15:10,16:50,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,17:50,19:35,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,20:40,22:25,Santos Dumont,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,08:35,11:00,São Luís,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,08:40,10:35,Salvador,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,12:00,14:00,Salvador,01/maio - 31/maio,Sexta Domingo
Brasília,16:30,18:25,Salvador,01/maio - 31/maio,Quinta
Brasília,20:50,22:45,Salvador,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,22:30,00:45,Teresina,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,09:00,10:40,Viracopos,01/maio - 31/maio,Sexta Sábado Domingo
Bonito,12:45,15:40,Congonhas,01/maio - 31/maio,Terça Sábado
Cascavel,11:20,12:55,Guarulhos,01/maio - 31/maio,Domingo
Cascavel,20:25,22:00,Guarulhos,01/maio - 31/maio,Sexta
Cuiabá,10:35,13:50,Congonhas,01/maio - 31/maio,Sexta
Cuiabá,10:55,14:10,Congonhas,01/maio - 31/maio,Sábado Domingo
Cuiabá,10:15,13:55,Galeão,01/maio - 31/maio,Terça Quinta Sábado
Cuiabá,01:55,05:10,Guarulhos,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Cuiabá,17:00,20:20,Guarulhos,01/maio - 31/maio,Sexta
Cuiabá,17:45,21:05,Guarulhos,01/maio - 31/maio,Domingo
Congonhas,11:50,12:45,Campo Grande,01/maio - 31/maio,Sexta Sábado Domingo
Congonhas,11:15,12:45,Caldas Novas,01/maio - 31/maio,Quinta Domingo
Congonhas,06:30,07:55,Confins,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,08:05,09:30,Confins,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,09:00,10:25,Confins,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,10:10,11:30,Confins,01/maio - 31/maio,Sexta Sábado
Congonhas,10:30,11:50,Confins,01/maio - 31/maio,Sábado
Congonhas,14:20,15:45,Confins,01/maio - 31/maio,Sexta
Congonhas,14:50,16:10,Confins,01/maio - 31/maio,Domingo
Congonhas,16:25,17:50,Confins,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,17:20,18:45,Confins,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,18:40,19:55,Confins,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,20:40,22:05,Confins,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,07:10,08:20,Curitiba,01/maio - 31/maio,Sexta Sábado
Congonhas,08:10,09:15,Curitiba,01/maio - 31/maio,Sábado Domingo
Congonhas,08:30,09:40,Curitiba,01/maio - 31/maio,Sexta Segunda Terça Quarta Quinta
Congonhas,10:25,11:35,Curitiba,01/maio - 31/maio,Sexta Segunda Terça Quarta Quinta
Congonhas,13:05,14:15,Curitiba,01/maio - 31/maio,Sexta Domingo
Congonhas,14:40,15:50,Curitiba,01/maio - 31/maio,Domingo
Congonhas,15:25,16:35,Curitiba,01/maio - 31/maio,Terça
Congonhas,15:45,16:55,Curitiba,01/maio - 31/maio,Segunda Quarta Quinta Sexta
Congonhas,16:40,17:50,Curitiba,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,18:15,19:20,Curitiba,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,19:10,20:10,Curitiba,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,21:00,22:05,Curitiba,01/maio - 31/maio,Sexta Domingo
Congonhas,10:55,12:30,Caxias do Sul,01/maio - 31/maio,Terça
Congonhas,11:15,12:55,Caxias do Sul,01/maio - 31/maio,Domingo Segunda Terça Quarta Quinta
Congonhas,07:05,08:25,Florianópolis,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Congonhas,10:30,11:50,Florianópolis,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,13:30,14:50,Florianópolis,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,14:50,16:05,Florianópolis,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,16:20,17:35,Florianópolis,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Congonhas,17:50,19:10,Florianópolis,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Congonhas,19:05,20:25,Florianópolis,01/maio - 31/maio,Sexta Domingo
